CHR	POS1	POS2	n_motif_snps	max_abs_delta	strongest_effect	anchor_summary	GENOME
chr2	205766904	205766980	2	4.76169986044	1	SNP that moderately affects CTCF motif strength.	GM
chr2	217510888	217510960	2	2.95939	1	SNP that moderately affects CTCF motif strength.	GM
chr2	218034892	218034940	4	1.93692	1	SNP that moderately affects CTCF motif strength.	GM
chr2	228039874	228039990	2	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr2	232439601	232439810	2	3.705342965	1	SNP that moderately affects CTCF motif strength.	GM
chr2	232440648	232440780	2	6.41666787127	2	SNP that strongly alters CTCF motif strength.	GM
chr2	232522182	232522370	1	1.2335	1	SNP that moderately affects CTCF motif strength.	GM
chr2	233711567	233711665	1	0.97573	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr2	237475132	237475694	2	1.49113239358	1	SNP that moderately affects CTCF motif strength.	GM
chr2	238160261	238160651	1	3.26568113511	1	SNP that moderately affects CTCF motif strength.	GM
chr2	241732549	241732903	3	3.32256903777	1	SNP that moderately affects CTCF motif strength.	GM
chr2	241875936	241875974	1	2.34561244548	1	SNP that moderately affects CTCF motif strength.	GM
chr3	8111353	8111399	1	1.14803	1	SNP that moderately affects CTCF motif strength.	GM
chr3	8623008	8623142	2	5.32359	2	SNP that strongly alters CTCF motif strength.	GM
chr3	12787513	12787573	4	4.27107	1	SNP that moderately affects CTCF motif strength.	GM
chr3	62665972	62666094	1	4.28114	1	SNP that moderately affects CTCF motif strength.	GM
chr3	75552247	75552329	2	1.70394	1	SNP that moderately affects CTCF motif strength.	GM
chr3	88113720	88113792	1	0.481656416066	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr3	103991560	103991716	1	2.24981	1	SNP that moderately affects CTCF motif strength.	GM
chr3	107752772	107752869	1	2.2852778713	1	SNP that moderately affects CTCF motif strength.	GM
chr3	113838718	113838890	1	0.291471188444	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr3	115819866	115820018	1	0.110889001849	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr3	124565062	124565174	2	1.935347742	1	SNP that moderately affects CTCF motif strength.	GM
chr3	129344075	129344147	1	1.08116236656	1	SNP that moderately affects CTCF motif strength.	GM
chr3	133041362	133041492	1	3.3195362567	1	SNP that moderately affects CTCF motif strength.	GM
chr3	136752166	136753098	2	0.760427572278	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr3	143775483	143775633	1	4.26069	1	SNP that moderately affects CTCF motif strength.	GM
chr3	156673934	156674578	2	0.0	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr3	159988668	159988788	1	2.71354805226	1	SNP that moderately affects CTCF motif strength.	GM
chr3	179069297	179069367	3	2.24981	1	SNP that moderately affects CTCF motif strength.	GM
chr3	186931198	186931498	1	0.0384061	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr3	194687902	194688008	1	2.61258614973	1	SNP that moderately affects CTCF motif strength.	GM
chr4	4335398	4335458	1	0.660687	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	8547172	8547290	1	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr4	10157905	10158007	1	0.890966481572	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	11424172	11424252	1	2.45915266203	1	SNP that moderately affects CTCF motif strength.	GM
chr4	15756231	15756823	1	0.634328	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	25440048	25440186	1	2.22534913182	1	SNP that moderately affects CTCF motif strength.	GM
chr4	41661590	41661696	1	0.946970872345	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	52545597	52545677	1	0.769309772979	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	60464263	60464347	1	0.543340867287	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	67327238	67327548	1	0.321407627054	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	76733640	76733678	1	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	78059695	78059799	1	3.61904	1	SNP that moderately affects CTCF motif strength.	GM
chr4	83644835	83644941	1	1.12101	1	SNP that moderately affects CTCF motif strength.	GM
chr4	85147646	85147758	1	4.27107	1	SNP that moderately affects CTCF motif strength.	GM
chr4	88219189	88219313	2	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr4	89434531	89434601	2	2.30182	1	SNP that moderately affects CTCF motif strength.	GM
chr4	98995167	98995655	6	4.35128158909	1	SNP that moderately affects CTCF motif strength.	GM
chr4	112523788	112524168	1	1.88214	1	SNP that moderately affects CTCF motif strength.	GM
chr4	121950334	121950464	3	7.55873	2	SNP that strongly alters CTCF motif strength.	GM
chr4	122914484	122914544	1	5.4555	2	SNP that strongly alters CTCF motif strength.	GM
chr4	139295824	139295866	2	6.59769	2	SNP that strongly alters CTCF motif strength.	GM
chr4	151801721	151801779	1	3.61904	1	SNP that moderately affects CTCF motif strength.	GM
chr4	156378259	156378319	1	11.1706386208	2	SNP that strongly alters CTCF motif strength.	GM
chr4	158667751	158667965	2	4.39379	1	SNP that moderately affects CTCF motif strength.	GM
chr4	163544519	163544685	1	2.46186	1	SNP that moderately affects CTCF motif strength.	GM
chr4	180449583	180449609	1	2.17451	1	SNP that moderately affects CTCF motif strength.	GM
chr4	182806466	182806630	1	0.0384061	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	189940707	189940955	1	1.86713	1	SNP that moderately affects CTCF motif strength.	GM
chr5	2038628	2038886	4	3.35780235877	1	SNP that moderately affects CTCF motif strength.	GM
chr5	17189550	17189670	1	2.01789	1	SNP that moderately affects CTCF motif strength.	GM
chr5	17203492	17203564	1	2.95939	1	SNP that moderately affects CTCF motif strength.	GM
chr5	33470723	33470777	2	15.8512293955	2	SNP that strongly alters CTCF motif strength.	GM
chr5	35815723	35815777	1	17.3680202851	2	SNP that strongly alters CTCF motif strength.	GM
chr5	36507486	36507570	2	6.14194	2	SNP that strongly alters CTCF motif strength.	GM
chr5	55226200	55227330	2	1.93692	1	SNP that moderately affects CTCF motif strength.	GM
chr5	56314713	56314785	1	3.37456	1	SNP that moderately affects CTCF motif strength.	GM
chr5	71778828	71778894	1	2.01789	1	SNP that moderately affects CTCF motif strength.	GM
chr5	80083517	80083829	2	1.70394	1	SNP that moderately affects CTCF motif strength.	GM
chr5	95858785	95859049	2	0.599121	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr5	104413055	104413107	1	5.03118	2	SNP that strongly alters CTCF motif strength.	GM
chr5	106122126	106122256	1	2.58890722031	1	SNP that moderately affects CTCF motif strength.	GM
chr5	112922138	112922528	1	0.97573	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr5	119268113	119268245	1	4.17557	1	SNP that moderately affects CTCF motif strength.	GM
chr5	120656016	120656046	2	5.56286	2	SNP that strongly alters CTCF motif strength.	GM
chr5	133287677	133287723	1	3.77968	1	SNP that moderately affects CTCF motif strength.	GM
chr5	139394248	139394443	2	2.425874747	1	SNP that moderately affects CTCF motif strength.	GM
chr5	146446966	146447332	1	3.37456	1	SNP that moderately affects CTCF motif strength.	GM
chr5	148820948	148821058	1	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr5	151239370	151239472	2	8.15327	2	SNP that strongly alters CTCF motif strength.	GM
chr5	151316149	151316221	1	0.360177559815	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr5	152349776	152349910	1	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr5	152462226	152462684	3	6.76971	2	SNP that strongly alters CTCF motif strength.	GM
chr5	154189921	154190543	3	7.19516	2	SNP that strongly alters CTCF motif strength.	GM
chr5	160199466	160199642	2	1.86713	1	SNP that moderately affects CTCF motif strength.	GM
chr5	170184034	170184532	2	1.05307192841	1	SNP that moderately affects CTCF motif strength.	GM
chr6	188947	189043	1	1.45871762358	1	SNP that moderately affects CTCF motif strength.	GM
chr6	8888589	8888685	1	1.70093797528	1	SNP that moderately affects CTCF motif strength.	GM
chr6	14211006	14211414	1	1.82397358827	1	SNP that moderately affects CTCF motif strength.	GM
chr6	15441353	15441513	2	1.5513828698	1	SNP that moderately affects CTCF motif strength.	GM
chr6	28104708	28104880	1	0.857612	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr6	29848202	29848282	3	2.2497	1	SNP that moderately affects CTCF motif strength.	GM
chr6	31367044	31367106	3	4.42988824454	1	SNP that moderately affects CTCF motif strength.	GM
chr6	31493834	31494140	1	2.62989719673	1	SNP that moderately affects CTCF motif strength.	GM
chr6	31923093	31923155	2	5.56286	2	SNP that strongly alters CTCF motif strength.	GM
chr6	32415572	32415680	1	1.88214	1	SNP that moderately affects CTCF motif strength.	GM
chr6	32692037	32692425	1	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr6	35757635	35757695	2	2.57409	1	SNP that moderately affects CTCF motif strength.	GM
chr6	36701682	36701750	2	2.59208	1	SNP that moderately affects CTCF motif strength.	GM
chr6	41786592	41786670	1	0.153104	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr6	42104171	42104583	1	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr6	42166553	42166719	1	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr6	43386684	43386732	1	4.17557	1	SNP that moderately affects CTCF motif strength.	GM
chr6	44237494	44238352	1	0.593837	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr6	50815746	50816574	1	3.17321	1	SNP that moderately affects CTCF motif strength.	GM
chr6	53728730	53728812	2	6.76971	2	SNP that strongly alters CTCF motif strength.	GM
chr6	53956215	53956327	1	1.54039	1	SNP that moderately affects CTCF motif strength.	GM
chr6	104525720	104526028	1	0.153104	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr6	106445080	106445164	1	0.123174	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr6	134882590	134882672	2	4.17557	1	SNP that moderately affects CTCF motif strength.	GM
chr6	148948034	148948088	3	3.77968	1	SNP that moderately affects CTCF motif strength.	GM
chr6	149432136	149432210	1	0.0384061	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr6	155248458	155248666	1	2.2155716314	1	SNP that moderately affects CTCF motif strength.	GM
chr6	158813934	158814392	1	0.983641066993	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr6	166400908	166401032	1	1.32264	1	SNP that moderately affects CTCF motif strength.	GM
chr7	263706	264104	1	7.55873	2	SNP that strongly alters CTCF motif strength.	GM
chr7	1086641	1087355	3	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr7	1170014	1170068	4	2.65867	1	SNP that moderately affects CTCF motif strength.	GM
chr7	2651551	2651631	1	0.516069404919	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	4830251	4830349	2	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr7	8036052	8036134	1	0.00400231519703	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	22550351	22550467	1	1.32264	1	SNP that moderately affects CTCF motif strength.	GM
chr7	22854011	22854379	1	2.32175	1	SNP that moderately affects CTCF motif strength.	GM
chr7	23545053	23545173	2	8.05316	2	SNP that strongly alters CTCF motif strength.	GM
chr7	23570766	23570826	1	0.302849332073	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	29589272	29589448	1	0.593837	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	32204500	32204626	2	0.123174	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	32479738	32479806	1	4.03874120217	1	SNP that moderately affects CTCF motif strength.	GM
chr7	37342679	37343079	1	2.57409	1	SNP that moderately affects CTCF motif strength.	GM
chr7	38070712	38070848	2	3.77968	1	SNP that moderately affects CTCF motif strength.	GM
chr7	39742386	39742418	3	3.37456	1	SNP that moderately affects CTCF motif strength.	GM
chr7	41940852	41941024	1	0.123174	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	48424941	48425015	2	4.26069	1	SNP that moderately affects CTCF motif strength.	GM
chr7	55255376	55255938	2	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr7	85186831	85187021	1	0.97573	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	85750521	85750603	1	1.88214	1	SNP that moderately affects CTCF motif strength.	GM
chr7	90708834	90709288	1	0.190375	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	98168674	98168836	1	6.14194	2	SNP that strongly alters CTCF motif strength.	GM
chr7	100131113	100131181	2	4.39379	1	SNP that moderately affects CTCF motif strength.	GM
chr7	100966197	100966615	1	1.72897163643	1	SNP that moderately affects CTCF motif strength.	GM
chr7	101283118	101283178	2	1.32264	1	SNP that moderately affects CTCF motif strength.	GM
chr7	107879486	107879614	1	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	116786908	116787022	1	0.153104	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr7	130875479	130875557	2	2.46186	1	SNP that moderately affects CTCF motif strength.	GM
chr7	149624702	149624844	1	2.01789	1	SNP that moderately affects CTCF motif strength.	GM
chr7	157250737	157250855	1	1.65891361741	1	SNP that moderately affects CTCF motif strength.	GM
chr8	19779667	19779765	1	0.650791	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr8	23014422	23014598	1	1.70103063296	1	SNP that moderately affects CTCF motif strength.	GM
chr8	32549021	32549319	1	0.123174	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr8	42385375	42385767	1	2.71131002938	1	SNP that moderately affects CTCF motif strength.	GM
chr8	61139006	61139532	3	2.72994	1	SNP that moderately affects CTCF motif strength.	GM
chr8	90000664	90001376	3	4.88849141674	1	SNP that moderately affects CTCF motif strength.	GM
chr8	96164458	96164542	1	2.49250001646	1	SNP that moderately affects CTCF motif strength.	GM
chr8	102814713	102814869	1	3.63084353147	1	SNP that moderately affects CTCF motif strength.	GM
chr8	106081112	106081260	1	0.190375	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr8	107779915	107779991	1	3.61904	1	SNP that moderately affects CTCF motif strength.	GM
chr8	134685540	134685922	1	2.95939	1	SNP that moderately affects CTCF motif strength.	GM
chr8	142447552	142447714	2	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr8	142545696	142545814	1	0.515880405397	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr8	143383708	143383794	1	0.94101	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr8	144277681	144277890	5	0.95754231569	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr8	144326783	144327021	1	2.24981	1	SNP that moderately affects CTCF motif strength.	GM
chr9	613936	614102	1	2.50403022829	1	SNP that moderately affects CTCF motif strength.	GM
chr9	806697	806789	1	0.97573	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr9	1009236	1009330	2	1.59836	1	SNP that moderately affects CTCF motif strength.	GM
chr9	1732831	1732931	1	2.24981	1	SNP that moderately affects CTCF motif strength.	GM
chr9	4762041	4762937	1	2.14849940025	1	SNP that moderately affects CTCF motif strength.	GM
chr9	6354257	6354361	1	1.59836	1	SNP that moderately affects CTCF motif strength.	GM
chr9	7402153	7402257	1	1.32264	1	SNP that moderately affects CTCF motif strength.	GM
chr9	16039491	16039700	1	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr9	16192322	16192434	1	1.05280819307	1	SNP that moderately affects CTCF motif strength.	GM
chr9	18442713	18442863	1	3.07736140718	1	SNP that moderately affects CTCF motif strength.	GM
chr9	19471892	19472112	2	3.33554161304	1	SNP that moderately affects CTCF motif strength.	GM
chr9	21413870	21413964	1	3.19581	1	SNP that moderately affects CTCF motif strength.	GM
chr9	27529651	27529927	4	6.25332733003	2	SNP that strongly alters CTCF motif strength.	GM
chr9	34664466	34664544	2	1.06832	1	SNP that moderately affects CTCF motif strength.	GM
chr9	36855635	36855715	1	3.03132	1	SNP that moderately affects CTCF motif strength.	GM
chr9	69549576	69549662	1	0.190375	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr9	78239631	78239840	1	1.86713	1	SNP that moderately affects CTCF motif strength.	GM
chr9	88741522	88741560	1	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr9	92729406	92729618	3	4.17557	1	SNP that moderately affects CTCF motif strength.	GM
chr9	96317460	96317590	2	4.83333957262	1	SNP that moderately affects CTCF motif strength.	GM
chr9	98074529	98074611	1	0.576554384687	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr9	104091906	104091944	1	0.0384061	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr9	105447879	105448087	5	7.37541	2	SNP that strongly alters CTCF motif strength.	GM
chr9	114108099	114108147	2	3.82061	1	SNP that moderately affects CTCF motif strength.	GM
chr9	132575170	132575250	3	0.0	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr9	137035100	137035586	1	2.95055224742	1	SNP that moderately affects CTCF motif strength.	GM
chr10	4982199	4982307	1	2.07246891	1	SNP that moderately affects CTCF motif strength.	GM
chr10	6086536	6086614	2	1.46382451546	1	SNP that moderately affects CTCF motif strength.	GM
chr10	20858448	20858550	1	0.0384061	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	28677261	28677475	1	1.92697095032	1	SNP that moderately affects CTCF motif strength.	GM
chr10	30591321	30591421	2	1.85728119091	1	SNP that moderately affects CTCF motif strength.	GM
chr10	30726878	30727126	3	4.20194138072	1	SNP that moderately affects CTCF motif strength.	GM
chr10	30751999	30752083	3	4.34799	1	SNP that moderately affects CTCF motif strength.	GM
chr10	32005125	32005199	1	0.97573	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	42866813	42866901	1	5.1379	2	SNP that strongly alters CTCF motif strength.	GM
chr10	49407700	49407788	1	1.70264935066	1	SNP that moderately affects CTCF motif strength.	GM
chr10	50660262	50660378	2	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr10	55740909	55741015	1	0.97573	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	69392644	69392732	2	1.2335	1	SNP that moderately affects CTCF motif strength.	GM
chr10	69800237	69800299	1	0.857612	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	71812097	71812169	2	1.26296	1	SNP that moderately affects CTCF motif strength.	GM
chr10	78303085	78303697	1	0.0	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	79347346	79347454	1	3.37456	1	SNP that moderately affects CTCF motif strength.	GM
chr10	79779445	79779653	2	3.36242671905	1	SNP that moderately affects CTCF motif strength.	GM
chr10	80029385	80029465	1	0.893989	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	86139213	86139281	2	4.17557	1	SNP that moderately affects CTCF motif strength.	GM
chr10	93289197	93289273	1	1.2335	1	SNP that moderately affects CTCF motif strength.	GM
chr10	96765799	96765903	1	6.53162	2	SNP that strongly alters CTCF motif strength.	GM
chr10	97407225	97407747	1	0.350949089828	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	97731888	97731980	2	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr10	98467530	98467676	1	1.54039	1	SNP that moderately affects CTCF motif strength.	GM
chr10	102669851	102670060	3	14.3377581862	2	SNP that strongly alters CTCF motif strength.	GM
chr10	109852482	109852674	1	0.170312	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	117216736	117216844	3	4.56427284944	1	SNP that moderately affects CTCF motif strength.	GM
chr10	120942981	120943055	1	0.353562	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	121887147	121887223	3	18.7679	2	SNP that strongly alters CTCF motif strength.	GM
chr10	125982448	125982570	2	2.95939	1	SNP that moderately affects CTCF motif strength.	GM
chr10	128035632	128035722	1	0.97573	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	132352737	132352853	2	0.219303922806	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr10	133247114	133247196	2	2.46186	1	SNP that moderately affects CTCF motif strength.	GM
chr11	723416	723460	1	0.0384061	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr11	1640287	1640443	1	4.3331322543	1	SNP that moderately affects CTCF motif strength.	GM
chr11	2428366	2428436	2	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr11	2531515	2531587	2	0.541318495856	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr11	3417078	3417230	1	0.660687	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr11	8099462	8099520	1	4.26069	1	SNP that moderately affects CTCF motif strength.	GM
chr11	18171504	18171656	2	3.36743172557	1	SNP that moderately affects CTCF motif strength.	GM
chr11	20355411	20355459	1	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr11	20610202	20610368	2	2.46186	1	SNP that moderately affects CTCF motif strength.	GM
chr11	22829737	22830131	2	6.17775370199	2	SNP that strongly alters CTCF motif strength.	GM
chr11	26276961	26277053	2	5.05438053283	2	SNP that strongly alters CTCF motif strength.	GM
chr11	33988144	33988200	1	5.2514	2	SNP that strongly alters CTCF motif strength.	GM
chr11	35238150	35238502	1	0.604419750887	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr11	35392315	35392471	1	3.19581	1	SNP that moderately affects CTCF motif strength.	GM
chr11	44538628	44538694	3	4.27107	1	SNP that moderately affects CTCF motif strength.	GM
