variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines	GENOME	prediction_quality
chr1_152142120_152142236	6.943	-0.026	chr1	152142120	152142236	CTCF	1.0	123.0	123	CTCF	6740.021	6862.0	6862.0	116	52	0	HepG2	bad
chr1_152460174_152460512	1.585	0.0	chr1	152460174	152460512	CTCF_ENCSR000AKB	6.0	18.0	18	CTCF	1910.0	1910.0	1910.0	338	9	0	GM12878	bad
chr1_152460174_152460512	1.12	0.0	chr1	152460174	152460512	CTCF_ENCSR000DKV	23.0	50.0	50	CTCF	1910.0	1910.0	1910.0	338	21	0	GM12878	bad
chr1_152460174_152460512	1.078	0.0	chr1	152460174	152460512	CTCF_ENCSR000DRZ	9.0	19.0	19	CTCF	1910.0	1910.0	1910.0	338	18	0	GM12878	bad
chr1_15272635_15272787	-2.322	0.041	chr1	15272635	15272787	CTCF_ENCSR000DKV	30.0	6.0	30	CTCF	8828.0	8578.026	8828.0	152	22	0	GM12878	bad
chr1_153465885_153465953	-1.078	-0.013	chr1	153465885	153465953	CTCF_ENCSR000DKV	19.0	9.0	19	CTCF	10690.008	10788.0	10788.0	68	25	0	GM12878	bad
chr1_153617749_153617807	-4.954	-4.948	chr1	153617749	153617807	CTCF_ENCSR000DKV	31.0	1.0	31	CTCF	290.718	8975.0	8975.0	58	26	1	GM12878	good
chr1_153617749_153617807	-4.7	-4.948	chr1	153617749	153617807	CTCF_ENCSR000DRZ	26.0	1.0	26	CTCF	290.718	8975.0	8975.0	58	20	1	GM12878	good
chr1_154749197_154749313	-4.248	0.03	chr1	154749197	154749313	CTCF	19.0	1.0	19	CTCF	4060.0	3976.024	4060.0	116	58	0	HepG2	bad
chr1_154819773_154819845	1.766	0.013	chr1	154819773	154819845	CTCF_ENCSR000DKV	5.0	17.0	17	CTCF	4979.0	4935.01	4979.0	72	27	0	GM12878	bad
chr1_15526333_15526927	-2.392	-0.006	chr1	15526333	15526927	CTCF	21.0	4.0	21	CTCF	692.004	695.0	695.0	594	63	0	HepG2	bad
chr1_157489521_157489593	-1.837	0.014	chr1	157489521	157489593	CTCF_ENCSR000AKB	25.0	7.0	25	CTCF	9769.5	9674.752	9769.5	72	15	0	GM12878	bad
chr1_157489521_157489593	-1.044	0.014	chr1	157489521	157489593	CTCF_ENCSR000DRZ	33.0	16.0	33	CTCF	9769.5	9674.752	9769.5	72	25	0	GM12878	bad
chr1_16032964_16033072	-1.115	0.016	chr1	16032964	16033072	CTCF_ENCSR000DRZ	26.0	12.0	26	CTCF	10821.0	10698.013	10821.0	108	28	0	GM12878	bad
chr1_160777541_160777750	-1.367	-0.005	chr1	160777541	160777750	CTCF	49.0	19.0	49	CTCF	4006.004	4020.0	4020.0	209	77	0	HepG2	bad
chr1_160830684_160830770	1.716	-0.005	chr1	160830684	160830770	CTCF_ENCSR000AKB	7.0	23.0	23	CTCF	10358.004	10394.0	10394.0	86	18	0	GM12878	bad
chr1_160990397_160990445	-5.966	0.057	chr1	160990397	160990445	CTCF	125.0	2.0	125	CTCF	6830.0	6566.036	6830.0	48	79	0	HepG2	bad
chr1_161054661_161055070	1.524	0.684	chr1	161054661	161055070	CTCF	8.0	23.0	23	CTCF	921.0	573.377	921.0	409	80	1	HepG2	good
chr1_161566293_161566389	-6.248	-0.081	chr1	161566293	161566389	CTCF	76.0	1.0	76	CTCF	4579.802	4843.75	4843.75	96	83	0	HepG2	bad
chr1_161647624_161647808	3.17	0.065	chr1	161647624	161647808	CTCF_ENCSR000DKV	2.0	18.0	18	CTCF	4738.5	4531.045	4738.5	184	41	0	GM12878	bad
chr1_16187847_16188025	1.138	0.024	chr1	16187847	16188025	CTCF_ENCSR000DRZ	15.0	33.0	33	CTCF	13131.0	12913.024	13131.0	178	31	0	GM12878	bad
chr1_162392184_162392440	-1.688	0.0	chr1	162392184	162392440	CTCF	29.0	9.0	29	CTCF	6912.0	6912.0	6912.0	256	86	0	HepG2	bad
chr1_16352318_16352686	6.966	-0.022	chr1	16352318	16352686	CTCF	1.0	125.0	125	CTCF	1427.016	1449.0	1449.0	368	88	0	HepG2	bad
chr1_167538681_167539090	-1.678	-1.559	chr1	167538681	167539090	CTCF	32.0	10.0	32	CTCF	580.161	1709.75	1709.75	409	100	1	HepG2	good
chr1_172041899_172041941	1.322	0.07	chr1	172041899	172041941	CTCF	10.0	25.0	25	CTCF	2306.5	2196.548	2306.5	42	113	0	HepG2	bad
chr1_173691278_173691344	-0.061	1.622	chr1	173691278	173691344	CTCF	24.0	23.0	24	CTCF	5781.0	1878.425	5781.0	66	118	1	HepG2	good
chr1_182069091_182069300	-4.0	-5.167	chr1	182069091	182069300	CTCF_ENCSR000DKV	16.0	1.0	16	CTCF	232.972	8371.0	8371.0	209	54	1	GM12878	good
chr1_182069091_182069300	-4.858	-5.167	chr1	182069091	182069300	CTCF_ENCSR000DRZ	29.0	1.0	29	CTCF	232.972	8371.0	8371.0	209	38	1	GM12878	good
chr1_18468581_18468790	-1.126	0.15	chr1	18468581	18468790	CTCF	24.0	11.0	24	CTCF	862.5	777.099	862.5	209	132	1	HepG2	good
chr1_18575703_18575927	1.479	0.509	chr1	18575703	18575927	CTCF	66.0	184.0	184	CTCF	10508.0	7384.305	10508.0	224	133	1	HepG2	good
chr1_192808747_192809093	-2.807	0.014	chr1	192808747	192809093	CTCF	112.0	16.0	112	CTCF	1702.0	1686.009	1702.0	346	139	0	HepG2	bad
chr1_196723486_196723684	1.037	0.625	chr1	196723486	196723684	CTCF	76.0	156.0	156	CTCF	9464.0	6135.351	9464.0	198	144	1	HepG2	good
chr1_196723490_196723580	-1.644	-0.821	chr1	196723490	196723580	CTCF_ENCSR000DKV	25.0	8.0	25	CTCF	7269.44	12844.0	12844.0	90	56	1	GM12878	good
chr1_196827861_196828319	3.087	0.082	chr1	196827861	196828319	CTCF_ENCSR000DKV	2.0	17.0	17	CTCF	2984.5	2820.055	2984.5	458	57	0	GM12878	bad
chr1_199954861_199954909	-3.0	-3.776	chr1	199954861	199954909	CTCF_ENCSR000DRZ	16.0	2.0	16	CTCF	356.427	4883.0	4883.0	48	41	1	GM12878	good
chr1_200302120_200302724	4.7	-0.056	chr1	200302120	200302724	CTCF	1.0	26.0	26	CTCF	691.288	718.5	718.5	604	148	0	HepG2	bad
chr1_200803045_200803121	-1.263	0.009	chr1	200803045	200803121	CTCF_ENCSR000DRZ	24.0	10.0	24	CTCF	11035.0	10967.006	11035.0	76	42	0	GM12878	bad
chr1_202160578_202160816	-1.087	-0.544	chr1	202160578	202160816	CTCF_ENCSR000DKV	17.0	8.0	17	CTCF	2862.315	4173.0	4173.0	238	60	1	GM12878	good
chr1_202184797_202184897	-1.28	-0.046	chr1	202184797	202184897	CTCF_ENCSR000AKB	17.0	7.0	17	CTCF	10782.039	11134.0	11134.0	100	27	0	GM12878	bad
chr1_202184824_202184890	-1.073	-0.017	chr1	202184824	202184890	CTCF	183.0	87.0	183	CTCF	9340.008	9450.0	9450.0	66	153	0	HepG2	bad
chr1_204806916_204807486	-1.098	-0.019	chr1	204806916	204807486	CTCF	167.0	78.0	167	CTCF	3465.014	3510.0	3510.0	570	164	0	HepG2	bad
chr1_204989386_204989560	1.115	0.003	chr1	204989386	204989560	CTCF_ENCSR000DRZ	12.0	26.0	26	CTCF	15544.0	15512.016	15544.0	174	45	0	GM12878	bad
chr1_206911183_206911383	5.392	-0.035	chr1	206911183	206911383	CTCF	1.0	42.0	42	CTCF	5238.02	5368.0	5368.0	200	174	0	HepG2	bad
chr1_208252441_208252650	-2.0	-2.459	chr1	208252441	208252650	CTCF	56.0	14.0	56	CTCF	1251.818	6885.0	6885.0	209	178	1	HepG2	good
chr1_211649168_211649222	-4.087	-4.882	chr1	211649168	211649222	CTCF_ENCSR000AKB	17.0	1.0	17	CTCF	206.466	6086.25	6086.25	54	29	1	GM12878	good
chr1_211649168_211649222	-4.392	-4.882	chr1	211649168	211649222	CTCF_ENCSR000DKV	21.0	1.0	21	CTCF	206.466	6086.25	6086.25	54	69	1	GM12878	good
chr1_211649168_211649222	-4.322	-4.882	chr1	211649168	211649222	CTCF_ENCSR000DRZ	20.0	1.0	20	CTCF	206.466	6086.25	6086.25	54	49	1	GM12878	good
chr1_214551708_214551982	-1.202	-0.005	chr1	214551708	214551982	CTCF	23.0	10.0	23	CTCF	1051.003	1055.0	1055.0	274	194	0	HepG2	bad
chr1_21595557_21595837	-2.015	-0.016	chr1	21595557	21595837	CTCF	97.0	24.0	97	CTCF	5176.007	5232.0	5232.0	280	198	0	HepG2	bad
chr1_216742783_216742879	4.17	0.076	chr1	216742783	216742879	CTCF	1.0	18.0	18	CTCF	2393.5	2270.051	2393.5	96	199	0	HepG2	bad
chr1_21854983_21856217	4.0	0.006	chr1	21854983	21856217	CTCF	1.0	16.0	16	CTCF	391.5	390.004	391.5	1234	200	0	HepG2	bad
chr1_222465457_222465619	-1.07	-0.097	chr1	222465457	222465619	CTCF_ENCSR000AKB	21.0	10.0	21	CTCF	14798.07	15826.0	15826.0	162	33	1	GM12878	good
chr1_222465457_222465619	-1.07	-0.097	chr1	222465457	222465619	CTCF_ENCSR000AKB	21.0	10.0	21	CTCF	14798.07	15826.0	15826.0	162	33	0	GM12878	bad
chr1_223684341_223684439	1.054	-0.018	chr1	223684341	223684439	CTCF_ENCSR000DKV	13.0	27.0	27	CTCF	8675.006	8783.0	8783.0	98	76	0	GM12878	bad
chr1_224945879_224946347	-4.392	0.077	chr1	224945879	224946347	CTCF	21.0	1.0	21	CTCF	1997.5	1893.552	1997.5	468	212	0	HepG2	bad
chr1_225767868_225767996	1.415	0.871	chr1	225767868	225767996	CTCF	6.0	16.0	16	CTCF	1327.5	725.953	1327.5	128	214	1	HepG2	good
chr1_235339811_235340020	1.926	2.0	chr1	235339811	235340020	CTCF	5.0	19.0	19	CTCF	2016.0	504.0	2016.0	209	233	1	HepG2	good
chr1_236281974_236282186	1.032	0.012	chr1	236281974	236282186	CTCF	22.0	45.0	45	CTCF	1642.0	1628.008	1642.0	212	237	0	HepG2	bad
chr1_23959021_23959189	1.034	0.387	chr1	23959021	23959189	CTCF	42.0	86.0	86	CTCF	3862.0	2954.236	3862.0	168	245	1	HepG2	good
chr1_244583651_244583860	1.392	-0.019	chr1	244583651	244583860	CTCF	8.0	21.0	21	CTCF	1334.013	1352.0	1352.0	209	247	0	HepG2	bad
chr1_246971348_246971638	3.087	0.002	chr1	246971348	246971638	CTCF	4.0	34.0	34	CTCF	2638.0	2635.002	2638.0	290	255	0	HepG2	bad
chr1_247043578_247043686	1.787	0.002	chr1	247043578	247043686	CTCF	20.0	69.0	69	CTCF	1538.75	1536.751	1538.75	108	256	0	HepG2	bad
chr1_29880726_29880764	3.087	3.427	chr1	29880726	29880764	CTCF	2.0	17.0	17	CTCF	3132.0	291.157	3132.0	38	275	1	HepG2	good
chr1_30719326_30719506	-1.585	-0.002	chr1	30719326	30719506	CTCF_ENCSR000AKB	18.0	6.0	18	CTCF	13931.998	13956.0	13956.0	180	39	0	GM12878	bad
chr1_30782988_30783126	3.273	2.603	chr1	30782988	30783126	CTCF_ENCSR000DRZ	3.0	29.0	29	CTCF	11376.0	1872.837	11376.0	138	68	1	GM12878	good
chr1_32892813_32893513	-1.415	-0.522	chr1	32892813	32893513	CTCF_ENCSR000DRZ	16.0	6.0	16	CTCF	3433.306	4931.0	4931.0	700	69	1	GM12878	good
chr1_34592401_34592610	-1.263	-1.055	chr1	34592401	34592610	CTCF	48.0	20.0	48	CTCF	1220.52	2536.0	2536.0	209	290	1	HepG2	good
chr1_35641365_35641967	2.087	0.001	chr1	35641365	35641967	CTCF	4.0	17.0	17	CTCF	762.5	762.001	762.5	602	295	0	HepG2	bad
chr1_36576200_36576312	1.434	0.036	chr1	36576200	36576312	CTCF	74.0	200.0	200	CTCF	8252.0	8048.025	8252.0	112	300	0	HepG2	bad
chr1_39816732_39817458	1.515	0.003	chr1	39816732	39817458	CTCF	49.0	140.0	140	CTCF	4626.0	4615.999	4626.0	726	310	0	HepG2	bad
chr1_4060861_4061070	1.426	0.08	chr1	4060861	4061070	CTCF	16.0	43.0	43	CTCF	1276.0	1207.554	1276.0	209	312	0	HepG2	bad
chr1_40782786_40782824	1.551	0.729	chr1	40782786	40782824	CTCF	29.0	85.0	85	CTCF	3204.0	1933.395	3204.0	38	313	1	HepG2	good
chr1_40802371_40802507	-2.459	-0.009	chr1	40802371	40802507	CTCF	22.0	4.0	22	CTCF	633.006	637.0	637.0	136	314	0	HepG2	bad
chr1_42146913_42147199	-4.555	-0.0	chr1	42146913	42147199	CTCF	141.0	6.0	141	CTCF	6350.002	6352.0	6352.0	286	322	0	HepG2	bad
chr1_42165896_42165974	1.874	0.043	chr1	42165896	42165974	CTCF	6.0	22.0	22	CTCF	1163.0	1129.029	1163.0	78	323	0	HepG2	bad
chr1_42924326_42924494	1.17	0.094	chr1	42924326	42924494	CTCF	12.0	27.0	27	CTCF	1556.0	1458.063	1556.0	168	326	0	HepG2	bad
chr1_43936475_43937039	-1.379	-0.06	chr1	43936475	43937039	CTCF	52.0	20.0	52	CTCF	835.291	871.0	871.0	564	329	0	HepG2	bad
chr1_44731061_44731629	-1.17	-0.002	chr1	44731061	44731629	CTCF	18.0	8.0	18	CTCF	1246.002	1248.0	1248.0	568	332	0	HepG2	bad
chr1_44925011_44925443	5.285	-0.064	chr1	44925011	44925443	CTCF	1.0	39.0	39	CTCF	1185.793	1239.5	1239.5	432	334	0	HepG2	bad
chr1_47143730_47143912	-3.624	0.046	chr1	47143730	47143912	CTCF	74.0	6.0	74	CTCF	3953.0	3828.03	3953.0	182	337	0	HepG2	bad
chr1_48870711_48870920	1.047	0.173	chr1	48870711	48870920	CTCF	15.0	31.0	31	CTCF	3842.0	3408.116	3842.0	209	341	1	HepG2	good
chr1_48870765_48870849	-2.0	-0.047	chr1	48870765	48870849	CTCF_ENCSR000DKV	16.0	4.0	16	CTCF	7444.032	7692.0	7692.0	84	106	0	GM12878	bad
chr1_54808397_54809173	3.022	0.033	chr1	54808397	54809173	CTCF	8.0	65.0	65	CTCF	1592.5	1556.023	1592.5	776	351	0	HepG2	bad
chr1_59718205_59718271	-1.826	-1.068	chr1	59718205	59718271	CTCF	39.0	11.0	39	CTCF	1189.023	2493.0	2493.0	66	360	1	HepG2	good
chr1_6124858_6125053	-2.663	-0.06	chr1	6124858	6125053	CTCF	38.0	6.0	38	CTCF	662.29	690.25	690.25	195	361	0	HepG2	bad
chr1_62131244_62131356	1.807	0.924	chr1	62131244	62131356	CTCF	44.0	154.0	154	CTCF	8220.0	4333.474	8220.0	112	363	1	HepG2	good
chr1_63327703_63327803	-1.087	-0.046	chr1	63327703	63327803	CTCF_ENCSR000DKV	34.0	16.0	34	CTCF	10014.035	10338.0	10338.0	100	109	0	GM12878	bad
chr1_64744341_64744929	-1.314	-0.594	chr1	64744341	64744929	CTCF	92.0	37.0	92	CTCF	793.337	1197.25	1197.25	588	369	1	HepG2	good
chr1_65420154_65420678	1.716	0.049	chr1	65420154	65420678	CTCF	7.0	23.0	23	CTCF	1021.0	987.033	1021.0	524	370	0	HepG2	bad
chr1_66711511_66711720	-3.0	-3.079	chr1	66711511	66711720	CTCF	32.0	4.0	32	CTCF	256.257	2165.0	2165.0	209	373	1	HepG2	good
chr1_7042872_7042940	-1.474	0.068	chr1	7042872	7042940	CTCF_ENCSR000DKV	25.0	9.0	25	CTCF	7040.0	6718.043	7040.0	68	111	0	GM12878	bad
chr1_70528863_70528993	2.737	0.004	chr1	70528863	70528993	CTCF_ENCSR000DKV	3.0	20.0	20	CTCF	7590.0	7567.001	7590.0	130	112	0	GM12878	bad
chr1_70528863_70528993	2.07	0.004	chr1	70528863	70528993	CTCF_ENCSR000DRZ	5.0	21.0	21	CTCF	7590.0	7567.001	7590.0	130	77	0	GM12878	bad
chr1_7509291_7510100	-1.503	-0.035	chr1	7509291	7510100	CTCF	17.0	6.0	17	CTCF	302.524	310.0	310.0	809	380	0	HepG2	bad
chr1_84724431_84724640	-1.358	-0.075	chr1	84724431	84724640	CTCF	41.0	16.0	41	CTCF	5622.053	5920.0	5920.0	209	390	0	HepG2	bad
chr1_86419401_86419610	1.322	0.35	chr1	86419401	86419610	CTCF	10.0	25.0	25	CTCF	5964.0	4679.713	5964.0	209	393	1	HepG2	good
chr1_89085945_89086065	3.755	4.328	chr1	89085945	89086065	CTCF_ENCSR000DKV	2.0	27.0	27	CTCF	9518.0	473.95	9518.0	120	117	1	GM12878	good
chr1_89085945_89086065	3.524	4.328	chr1	89085945	89086065	CTCF_ENCSR000DRZ	2.0	23.0	23	CTCF	9518.0	473.95	9518.0	120	82	1	GM12878	good
chr1_90800451_90800660	1.503	0.011	chr1	90800451	90800660	CTCF	6.0	17.0	17	CTCF	1173.5	1164.508	1173.5	209	404	0	HepG2	bad
chr1_94369575_94369687	3.322	0.005	chr1	94369575	94369687	CTCF	3.0	30.0	30	CTCF	533.5	531.504	533.5	112	418	0	HepG2	bad
chr1_94805952_94806032	2.193	0.001	chr1	94805952	94806032	CTCF_ENCSR000DKV	7.0	32.0	32	CTCF	10740.0	10734.996	10740.0	80	122	0	GM12878	bad
chr1_94805952_94806032	3.087	0.001	chr1	94805952	94806032	CTCF_ENCSR000DRZ	2.0	17.0	17	CTCF	10740.0	10734.996	10740.0	80	86	0	GM12878	bad
chr1_96721607_96721807	1.544	-0.006	chr1	96721607	96721807	CTCF	12.0	35.0	35	CTCF	1729.005	1736.0	1736.0	200	421	0	HepG2	bad
chr1_983948_984502	-1.093	-0.027	chr1	983948	984502	CTCF	32.0	15.0	32	CTCF	1701.019	1733.0	1733.0	554	423	0	HepG2	bad
chr2_102057993_102058129	-1.322	-0.009	chr2	102057993	102058129	CTCF	30.0	12.0	30	CTCF	772.006	777.0	777.0	136	2062	0	HepG2	bad
chr2_102245831_102246040	-1.663	-0.739	chr2	102245831	102246040	CTCF	38.0	12.0	38	CTCF	683.901	1141.5	1141.5	209	2063	1	HepG2	good
chr2_102599291_102599700	-2.322	-0.028	chr2	102599291	102599700	CTCF	25.0	5.0	25	CTCF	195.269	199.125	199.125	409	2064	0	HepG2	bad
chr2_104412537_104412677	-1.115	-0.001	chr2	104412537	104412677	CTCF	39.0	18.0	39	CTCF	5563.001	5567.0	5567.0	140	2068	0	HepG2	bad
chr2_106384619_106384971	-4.248	0.074	chr2	106384619	106384971	CTCF	19.0	1.0	19	CTCF	451.5	429.05	451.5	352	2071	0	HepG2	bad
chr2_106542812_106543018	-1.117	-0.0	chr2	106542812	106543018	CTCF	193.0	89.0	193	CTCF	8594.5	8595.75	8595.75	206	2072	0	HepG2	bad
chr2_106582171_106583045	-1.043	-0.064	chr2	106582171	106583045	CTCF	68.0	33.0	68	CTCF	2187.044	2287.0	2287.0	874	2073	1	HepG2	good
chr2_106582171_106583045	-1.043	-0.064	chr2	106582171	106583045	CTCF	68.0	33.0	68	CTCF	2187.044	2287.0	2287.0	874	2073	0	HepG2	bad
chr2_108989077_108989423	-1.461	-0.074	chr2	108989077	108989423	CTCF	179.0	65.0	179	CTCF	3740.547	3938.5	3938.5	346	2077	0	HepG2	bad
chr2_109495436_109495514	3.322	2.511	chr2	109495436	109495514	CTCF	3.0	30.0	30	CTCF	1477.0	259.199	1477.0	78	2080	1	HepG2	good
chr2_109611671_109611880	-1.204	-0.021	chr2	109611671	109611880	CTCF	53.0	23.0	53	CTCF	2965.265	3009.25	3009.25	209	2081	0	HepG2	bad
chr2_111135079_111136411	-3.322	-0.056	chr2	111135079	111136411	CTCF	20.0	2.0	20	CTCF	289.788	301.25	301.25	1332	2083	0	HepG2	bad
chr2_111200291_111200500	-1.893	-0.027	chr2	111200291	111200500	CTCF	26.0	7.0	26	CTCF	400.018	407.5	407.5	209	2084	0	HepG2	bad
chr2_111884050_111884534	-1.037	-0.003	chr2	111884050	111884534	CTCF	39.0	19.0	39	CTCF	1676.002	1680.0	1680.0	484	2087	0	HepG2	bad
chr2_111987442_111987620	-1.766	-0.092	chr2	111987442	111987620	CTCF	17.0	5.0	17	CTCF	445.062	474.5	474.5	178	2089	0	HepG2	bad
chr2_112048889_112050095	6.285	0.0	chr2	112048889	112050095	CTCF	1.0	78.0	78	CTCF	5420.0	5420.0	5420.0	1206	2091	0	HepG2	bad
chr2_112433652_112433728	-4.0	-0.042	chr2	112433652	112433728	CTCF_ENCSR000DKV	16.0	1.0	16	CTCF	6336.535	6523.5	6523.5	76	655	0	GM12878	bad
chr2_112433652_112433728	-4.0	-0.042	chr2	112433652	112433728	CTCF_ENCSR000DRZ	16.0	1.0	16	CTCF	6336.535	6523.5	6523.5	76	480	0	GM12878	bad
chr2_112541870_112543406	-2.536	-0.005	chr2	112541870	112543406	CTCF	29.0	5.0	29	CTCF	620.503	622.5	622.5	1536	2092	0	HepG2	bad
chr2_113234241_113234450	-1.047	-0.203	chr2	113234241	113234450	CTCF	31.0	15.0	31	CTCF	2003.131	2305.0	2305.0	209	2099	1	HepG2	good
chr2_113297317_113297963	5.555	-0.006	chr2	113297317	113297963	CTCF	1.0	47.0	47	CTCF	367.504	369.0	369.0	646	2101	0	HepG2	bad
chr2_113390409_113390627	-4.248	0.003	chr2	113390409	113390627	CTCF_ENCSR000AKB	57.0	3.0	57	CTCF	14122.0	14094.004	14122.0	218	291	0	GM12878	bad
chr2_113390409_113390627	-6.728	0.003	chr2	113390409	113390627	CTCF_ENCSR000DKV	106.0	1.0	106	CTCF	14122.0	14094.004	14122.0	218	657	0	GM12878	bad
chr2_113390409_113390627	-5.615	0.003	chr2	113390409	113390627	CTCF_ENCSR000DRZ	49.0	1.0	49	CTCF	14122.0	14094.004	14122.0	218	482	0	GM12878	bad
chr2_113587391_113587443	-6.57	-0.01	chr2	113587391	113587443	CTCF	95.0	1.0	95	CTCF	3478.007	3502.0	3502.0	52	2102	0	HepG2	bad
chr2_113603481_113604625	-7.7	0.001	chr2	113603481	113604625	CTCF	208.0	1.0	208	CTCF	887.0	886.501	887.0	1144	2103	0	HepG2	bad
chr2_113979627_113979899	5.907	-0.057	chr2	113979627	113979899	CTCF_ENCSR000AKB	1.0	60.0	60	CTCF	5580.037	5803.0	5803.0	272	292	0	GM12878	bad
chr2_113979627_113979899	3.907	-0.057	chr2	113979627	113979899	CTCF_ENCSR000DKV	6.0	90.0	90	CTCF	5580.037	5803.0	5803.0	272	658	0	GM12878	bad
chr2_113979627_113979899	4.485	-0.057	chr2	113979627	113979899	CTCF_ENCSR000DRZ	5.0	112.0	112	CTCF	5580.037	5803.0	5803.0	272	483	0	GM12878	bad
chr2_11688509_11688635	1.585	-0.004	chr2	11688509	11688635	CTCF_ENCSR000DKV	7.0	21.0	21	CTCF	12076.002	12110.0	12110.0	126	659	0	GM12878	bad
chr2_119487732_119487968	-1.907	-0.006	chr2	119487732	119487968	CTCF	30.0	8.0	30	CTCF	1014.005	1018.0	1018.0	236	2110	0	HepG2	bad
chr2_119641414_119641996	-2.115	0.011	chr2	119641414	119641996	CTCF	39.0	9.0	39	CTCF	1227.0	1218.008	1227.0	582	2112	0	HepG2	bad
chr2_119679031_119679213	-1.369	-0.066	chr2	119679031	119679213	CTCF	31.0	12.0	31	CTCF	1091.045	1142.0	1142.0	182	2114	0	HepG2	bad
chr2_120252437_120253395	-1.193	0.0	chr2	120252437	120253395	CTCF	16.0	7.0	16	CTCF	742.0	742.0	742.0	958	2116	0	HepG2	bad
chr2_121975031_121975391	-1.158	-0.011	chr2	121975031	121975391	CTCF	174.0	78.0	174	CTCF	4487.007	4522.0	4522.0	360	2122	0	HepG2	bad
chr2_126571361_126572170	-1.152	-0.04	chr2	126571361	126572170	CTCF	20.0	9.0	20	CTCF	374.152	384.625	384.625	809	2125	0	HepG2	bad
chr2_126643411_126643820	-1.28	0.002	chr2	126643411	126643820	CTCF	17.0	7.0	17	CTCF	477.0	476.501	477.0	409	2126	0	HepG2	bad
chr2_126972099_126972285	-1.074	0.018	chr2	126972099	126972285	CTCF	160.0	76.0	160	CTCF	10580.0	10448.018	10580.0	186	2127	0	HepG2	bad
chr2_127003302_127003844	-1.419	-0.009	chr2	127003302	127003844	CTCF	131.0	49.0	131	CTCF	423.881	426.5	426.5	542	2129	0	HepG2	bad
chr2_127050184_127050364	-1.036	-0.002	chr2	127050184	127050364	CTCF	244.0	119.0	244	CTCF	8462.004	8476.0	8476.0	180	2130	0	HepG2	bad
