variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines	GENOME	along-x
chr2_113390409_113390627	-6.728	0.003	chr2	113390409	113390627	CTCF_ENCSR000DKV	106.0	1.0	106	CTCF	14122.0	14094.004	14122.0	218	657	0	GM12878	1
chr2_113587391_113587443	-6.57	-0.01	chr2	113587391	113587443	CTCF	95.0	1.0	95	CTCF	3478.007	3502.0	3502.0	52	2102	0	HepG2	1
chr2_113603481_113604625	-7.7	0.001	chr2	113603481	113604625	CTCF	208.0	1.0	208	CTCF	887.0	886.501	887.0	1144	2103	0	HepG2	1
chr2_131682071_131682999	-6.087	-0.047	chr2	131682071	131682999	CTCF	136.0	2.0	136	CTCF	680.532	703.0	703.0	928	2150	0	HepG2	1
chr2_140964473_140964617	6.755	-0.017	chr2	140964473	140964617	CTCF	1.0	108.0	108	CTCF	4243.011	4292.0	4292.0	144	2159	0	HepG2	1
chr2_149561312_149561696	-6.209	-0.001	chr2	149561312	149561696	CTCF	74.0	1.0	74	CTCF	4202.999	4205.0	4205.0	384	2167	0	HepG2	1
chr2_17470906_17471122	-7.066	0.047	chr2	17470906	17471122	CTCF	134.0	1.0	134	CTCF	6758.0	6541.032	6758.0	216	2213	0	HepG2	1
chr2_196850012_196850226	3.138	3.975	chr2	196850012	196850226	CTCF	5.0	44.0	44	CTCF	3938.5	250.436	3938.5	214	2255	1	HepG2	0
chr2_215002518_215002956	-7.087	-0.002	chr2	215002518	215002956	CTCF	136.0	1.0	136	CTCF	4644.252	4651.5	4651.5	438	2289	0	HepG2	1
chr2_232327200_232327338	5.672	0.079	chr2	232327200	232327338	CTCF	2.0	102.0	102	CTCF	9418.0	8916.052	9418.0	138	2338	0	HepG2	1
chr2_237512860_237513100	-5.931	-0.006	chr2	237512860	237513100	CTCF	61.0	1.0	61	CTCF	12004.0	12056.0	12056.0	240	2361	0	HepG2	1
chr2_46698529_46699379	-6.304	0.007	chr2	46698529	46699379	CTCF	79.0	1.0	79	CTCF	497.0	494.505	497.0	850	2465	0	HepG2	1
chr2_49286251_49286269	3.087	2.615	chr2	49286251	49286269	CTCF	2.0	17.0	17	CTCF	1417.0	231.337	1417.0	18	2479	1	HepG2	0
chr2_95345667_95345787	7.276	0.003	chr2	95345667	95345787	CTCF	1.0	155.0	155	CTCF	8596.0	8579.991	8596.0	120	2556	0	HepG2	1
chr3_12287448_12288102	5.977	0.076	chr3	12287448	12288102	CTCF	1.0	63.0	63	CTCF	1445.5	1371.551	1445.5	654	2812	0	HepG2	1
chr3_125766408_125766488	-7.585	-0.013	chr3	125766408	125766488	CTCF	192.0	1.0	192	CTCF	7660.011	7728.0	7728.0	80	2815	0	HepG2	1
chr3_151283049_151283237	6.768	-0.017	chr3	151283049	151283237	CTCF	1.0	109.0	109	CTCF	6001.012	6072.0	6072.0	188	2861	0	HepG2	1
chr3_171163271_171163480	5.672	-0.025	chr3	171163271	171163480	CTCF	1.0	51.0	51	CTCF	5328.016	5422.0	5422.0	209	2878	0	HepG2	1
chr3_46442698_46442892	4.485	4.845	chr3	46442698	46442892	CTCF	5.0	112.0	112	CTCF	6329.0	220.215	6329.0	194	2955	1	HepG2	0
chr4_10461395_10461519	-6.19	-0.016	chr4	10461395	10461519	CTCF	73.0	1.0	73	CTCF	3655.011	3695.0	3695.0	124	3019	0	HepG2	1
chr4_124944111_124944169	-3.059	-2.683	chr4	124944111	124944169	CTCF	25.0	3.0	25	CTCF	264.094	1696.5	1696.5	58	3039	1	HepG2	0
chr4_156378259_156378319	4.0	4.04	chr4	156378259	156378319	CTCF_ENCSR000DKV	1.0	16.0	16	CTCF	4943.0	300.439	4943.0	60	951	1	GM12878	0
chr4_169270433_169271387	6.109	-0.026	chr4	169270433	169271387	CTCF	1.0	69.0	69	CTCF	2176.019	2216.0	2216.0	954	3089	0	HepG2	1
chr4_169613273_169613365	-7.615	-0.059	chr4	169613273	169613365	CTCF	196.0	1.0	196	CTCF	7189.043	7488.0	7488.0	92	3090	0	HepG2	1
chr5_133287677_133287723	3.663	3.12	chr5	133287677	133287723	CTCF_ENCSR000DKV	3.0	38.0	38	CTCF	8191.25	942.386	8191.25	46	1011	1	GM12878	0
chr5_151239370_151239472	3.7	4.309	chr5	151239370	151239472	CTCF_ENCSR000DKV	3.0	39.0	39	CTCF	12133.0	612.2	12133.0	102	1020	1	GM12878	0
chr5_172958820_172959720	-5.129	0.013	chr5	172958820	172959720	CTCF_ENCSR000DKV	35.0	1.0	35	CTCF	647.5	641.509	647.5	900	1034	0	GM12878	1
chr5_177303473_177303993	-5.728	-0.006	chr5	177303473	177303993	CTCF	53.0	1.0	53	CTCF	1264.004	1269.0	1269.0	520	3364	0	HepG2	1
chr5_33470723_33470777	3.17	2.991	chr5	33470723	33470777	CTCF_ENCSR000DKV	2.0	18.0	18	CTCF	2496.0	313.874	2496.0	54	1043	1	GM12878	0
chr5_34464631_34466195	-5.304	-0.014	chr5	34464631	34466195	CTCF	79.0	2.0	79	CTCF	297.01	300.0	300.0	1564	3386	0	HepG2	1
chr5_57298297_57298427	-7.18	0.002	chr5	57298297	57298427	CTCF	145.0	1.0	145	CTCF	7758.0	7748.006	7758.0	130	3417	0	HepG2	1
chr6_149028954_149029176	6.19	0.007	chr6	149028954	149029176	CTCF	1.0	73.0	73	CTCF	7060.0	7024.003	7060.0	222	3549	0	HepG2	1
chr6_163416851_163416989	6.459	-0.011	chr6	163416851	163416989	CTCF	1.0	88.0	88	CTCF	4000.007	4030.0	4030.0	138	3587	0	HepG2	1
chr6_36615303_36615355	-7.18	0.038	chr6	36615303	36615355	CTCF	145.0	1.0	145	CTCF	7854.0	7652.029	7854.0	52	3736	0	HepG2	1
chr6_44223293_44224051	5.044	-0.012	chr6	44223293	44224051	CTCF	1.0	33.0	33	CTCF	1200.009	1210.0	1210.0	758	3771	0	HepG2	1
chr6_73739228_73739356	7.055	0.03	chr6	73739228	73739356	CTCF	1.0	133.0	133	CTCF	6944.0	6800.021	6944.0	128	3802	0	HepG2	1
chr7_1875392_1875818	-5.858	0.022	chr7	1875392	1875818	CTCF	58.0	1.0	58	CTCF	4095.0	4033.017	4095.0	426	3911	0	HepG2	1
chr7_22559927_22560149	-5.044	-0.0	chr7	22559927	22560149	CTCF	33.0	1.0	33	CTCF	9313.999	9316.0	9316.0	222	3917	0	HepG2	1
chr7_23545053_23545173	-4.087	-3.771	chr7	23545053	23545173	CTCF_ENCSR000DKV	17.0	1.0	17	CTCF	484.427	6613.0	6613.0	120	1208	1	GM12878	0
chr7_3897477_3897705	-5.426	-0.038	chr7	3897477	3897705	CTCF	43.0	1.0	43	CTCF	5154.029	5291.0	5291.0	228	3959	0	HepG2	1
chr7_5856573_5856739	-6.185	0.011	chr7	5856573	5856739	CTCF	291.0	4.0	291	CTCF	9264.0	9192.008	9264.0	166	3999	0	HepG2	1
chr7_98013534_98013680	-6.222	-0.033	chr7	98013534	98013680	CTCF	224.0	3.0	224	CTCF	8245.021	8437.0	8437.0	146	4056	0	HepG2	1
chr8_12665354_12665916	-5.209	0.007	chr8	12665354	12665916	CTCF	37.0	1.0	37	CTCF	1241.0	1235.005	1241.0	562	4111	0	HepG2	1
chr8_41390021_41390079	-3.358	-2.645	chr8	41390021	41390079	CTCF	41.0	4.0	41	CTCF	396.465	2480.25	2480.25	58	4207	1	HepG2	0
chr9_120755885_120756121	-7.248	-0.01	chr9	120755885	120756121	CTCF	152.0	1.0	152	CTCF	8328.005	8388.0	8388.0	236	4293	0	HepG2	1
chr9_17531744_17531886	-5.426	0.007	chr9	17531744	17531886	CTCF	43.0	1.0	43	CTCF	6212.0	6184.009	6212.0	142	4376	0	HepG2	1
chr9_3135071_3135480	-3.459	-2.663	chr9	3135071	3135480	CTCF	33.0	3.0	33	CTCF	319.842	2025.75	2025.75	409	4392	1	HepG2	0
chr9_35096036_35096640	-6.044	-0.011	chr9	35096036	35096640	CTCF	66.0	1.0	66	CTCF	3511.008	3537.0	3537.0	604	4405	0	HepG2	1
chr9_4117897_4117935	-3.059	-3.336	chr9	4117897	4117935	CTCF_ENCSR000DKV	25.0	3.0	25	CTCF	515.901	5211.0	5211.0	38	1345	1	GM12878	0
chr9_92729406_92729618	3.624	3.264	chr9	92729406	92729618	CTCF_ENCSR000DKV	3.0	37.0	37	CTCF	5387.0	560.896	5387.0	212	1361	1	GM12878	0
chr10_14991479_14991617	6.615	0.005	chr10	14991479	14991617	CTCF	1.0	98.0	98	CTCF	5852.0	5831.001	5852.0	138	508	0	HepG2	1
chr10_16777544_16777678	-6.19	-0.025	chr10	16777544	16777678	CTCF	73.0	1.0	73	CTCF	5998.521	6102.5	6102.5	134	513	0	HepG2	1
chr10_29449156_29449250	-5.492	-0.003	chr10	29449156	29449250	CTCF_ENCSR000DKV	45.0	1.0	45	CTCF	13838.002	13870.0	13870.0	94	155	0	GM12878	1
chr10_42866787_42866959	5.812	0.052	chr10	42866787	42866959	CTCF	5.0	281.0	281	CTCF	9620.0	9280.042	9620.0	172	552	0	HepG2	1
chr10_50660262_50660378	5.17	-0.01	chr10	50660262	50660378	CTCF_ENCSR000DKV	1.0	36.0	36	CTCF	5635.001	5673.0	5673.0	116	169	0	GM12878	1
chr10_78029009_78029877	-7.34	0.002	chr10	78029009	78029877	CTCF	162.0	1.0	162	CTCF	911.0	910.001	911.0	868	624	0	HepG2	1
chr10_86139213_86139281	3.17	3.074	chr10	86139213	86139281	CTCF_ENCSR000DKV	3.0	27.0	27	CTCF	6855.0	813.882	6855.0	68	189	1	GM12878	0
chr10_88880090_88881192	5.426	-0.005	chr10	88880090	88881192	CTCF	1.0	43.0	43	CTCF	701.504	704.0	704.0	1102	640	0	HepG2	1
chr11_102831521_102831601	-6.15	-0.06	chr11	102831521	102831601	CTCF	213.0	3.0	213	CTCF	4634.791	4832.5	4832.5	80	668	0	HepG2	1
chr11_116217183_116217247	-4.459	-4.854	chr11	116217183	116217247	CTCF_ENCSR000DKV	22.0	1.0	22	CTCF	351.466	10166.0	10166.0	64	207	1	GM12878	0
chr11_44775546_44775624	-5.585	0.001	chr11	44775546	44775624	CTCF	96.0	2.0	96	CTCF	6105.0	6099.994	6105.0	78	731	0	HepG2	1
chr11_65810224_65810306	-5.15	-0.001	chr11	65810224	65810306	CTCF	71.0	2.0	71	CTCF	2945.999	2948.0	2948.0	82	754	0	HepG2	1
chr11_89098011_89098319	-5.129	-0.002	chr11	89098011	89098319	CTCF	35.0	1.0	35	CTCF	7986.005	7995.0	7995.0	308	800	0	HepG2	1
chr11_94237728_94237866	6.459	0.004	chr11	94237728	94237866	CTCF	1.0	88.0	88	CTCF	873.125	870.628	873.125	138	802	0	HepG2	1
chr12_120335597_120335693	-6.895	-0.006	chr12	120335597	120335693	CTCF	238.0	2.0	238	CTCF	7636.003	7666.0	7666.0	96	844	0	HepG2	1
chr12_123972695_123973325	5.807	0.047	chr12	123972695	123973325	CTCF	2.0	112.0	112	CTCF	1661.5	1608.532	1661.5	630	854	0	HepG2	1
chr12_13024354_13024370	4.415	3.7	chr12	13024354	13024370	CTCF	3.0	64.0	64	CTCF	3637.5	279.923	3637.5	16	864	1	HepG2	0
chr12_50132686_50132754	4.0	4.569	chr12	50132686	50132754	CTCF_ENCSR000DKV	1.0	16.0	16	CTCF	5701.5	240.208	5701.5	68	299	1	GM12878	0
chr12_8390659_8390677	7.937	-0.043	chr12	8390659	8390677	CTCF	1.0	245.0	245	CTCF	7416.023	7638.0	7638.0	18	986	0	HepG2	1
chr12_9319349_9319457	5.755	-0.03	chr12	9319349	9319457	CTCF	1.0	54.0	54	CTCF	4063.019	4149.0	4149.0	108	993	0	HepG2	1
chr13_110925316_110925494	5.585	0.005	chr13	110925316	110925494	CTCF	1.0	48.0	48	CTCF	4769.0	4754.005	4769.0	178	1022	0	HepG2	1
chr13_112893661_112894621	-5.248	-0.015	chr13	112893661	112894621	CTCF	38.0	1.0	38	CTCF	1133.01	1145.0	1145.0	960	1029	0	HepG2	1
chr13_74215604_74215652	-4.17	-3.262	chr13	74215604	74215652	CTCF	72.0	4.0	72	CTCF	223.068	2139.719	2139.7188	48	1101	1	HepG2	0
chr14_71166623_71166723	4.0	3.066	chr14	71166623	71166723	CTCF_ENCSR000DKV	1.0	16.0	16	CTCF	5951.0	710.381	5951.0	100	400	1	GM12878	0
chr14_80636265_80636321	3.248	2.934	chr14	80636265	80636321	CTCF_ENCSR000DKV	2.0	19.0	19	CTCF	2409.0	315.119	2409.0	56	405	1	GM12878	0
chr15_45118101_45118377	-6.672	-0.014	chr15	45118101	45118377	CTCF	102.0	1.0	102	CTCF	5300.009	5350.0	5350.0	276	1235	0	HepG2	1
chr15_75758392_75758632	5.555	0.019	chr15	75758392	75758632	CTCF	1.0	47.0	47	CTCF	2491.0	2459.014	2491.0	240	1289	0	HepG2	1
chr15_77910508_77911030	8.721	0.03	chr15	77910508	77911030	CTCF	1.0	422.0	422	CTCF	6034.0	5910.022	6034.0	522	1295	0	HepG2	1
chr15_78738277_78738379	5.799	0.016	chr15	78738277	78738379	CTCF	3.0	167.0	167	CTCF	6124.0	6056.01	6124.0	102	1300	0	HepG2	1
chr15_78751158_78751292	7.271	0.088	chr15	78751158	78751292	CTCF	2.0	309.0	309	CTCF	8999.0	8466.067	8999.0	134	1301	0	HepG2	1
chr15_83248553_83248657	5.555	0.0	chr15	83248553	83248657	CTCF	1.0	47.0	47	CTCF	8516.0	8516.0	8516.0	104	1313	0	HepG2	1
chr15_90157862_90158436	-7.0	0.031	chr15	90157862	90158436	CTCF	128.0	1.0	128	CTCF	4432.0	4337.023	4432.0	574	1325	0	HepG2	1
chr15_90301318_90301456	-5.375	-0.027	chr15	90301318	90301456	CTCF	166.0	4.0	166	CTCF	7408.021	7548.0	7548.0	138	1328	0	HepG2	1
chr16_11326771_11327180	-6.087	-0.063	chr16	11326771	11327180	CTCF	68.0	1.0	68	CTCF	241.918	252.75	252.75	409	1364	0	HepG2	1
chr16_13904931_13905140	6.426	-0.039	chr16	13904931	13905140	CTCF	1.0	86.0	86	CTCF	4828.031	4959.0	4959.0	209	1381	0	HepG2	1
chr16_14974880_14975298	-5.209	0.013	chr16	14974880	14975298	CTCF	37.0	1.0	37	CTCF	683.0	677.009	683.0	418	1385	0	HepG2	1
chr16_15022180_15022526	-5.615	0.003	chr16	15022180	15022526	CTCF	49.0	1.0	49	CTCF	1624.5	1621.002	1624.5	346	1386	0	HepG2	1
chr16_2027581_2027790	-6.931	0.073	chr16	2027581	2027790	CTCF	122.0	1.0	122	CTCF	2015.0	1915.049	2015.0	209	1397	0	HepG2	1
chr16_21509651_21509860	-5.285	-0.007	chr16	21509651	21509860	CTCF	39.0	1.0	39	CTCF	881.005	885.0	885.0	209	1406	0	HepG2	1
chr16_29179386_29179954	-6.508	-0.002	chr16	29179386	29179954	CTCF	91.0	1.0	91	CTCF	577.752	578.75	578.75	568	1425	0	HepG2	1
chr16_50265350_50265444	-5.186	-0.027	chr16	50265350	50265444	CTCF	182.0	5.0	182	CTCF	4210.018	4290.0	4290.0	94	1452	0	HepG2	1
chr16_6573691_6573900	3.409	2.755	chr16	6573691	6573900	CTCF	8.0	85.0	85	CTCF	3717.75	550.602	3717.75	209	1474	1	HepG2	0
chr16_70018395_70018615	5.129	0.041	chr16	70018395	70018615	CTCF	1.0	35.0	35	CTCF	2824.0	2744.028	2824.0	220	1487	0	HepG2	1
chr16_87496311_87496520	-5.781	0.04	chr16	87496311	87496520	CTCF	55.0	1.0	55	CTCF	1876.0	1825.026	1876.0	209	1555	0	HepG2	1
chr16_87678735_87678895	3.503	2.547	chr16	87678735	87678895	CTCF	9.0	102.0	102	CTCF	3826.0	654.829	3826.0	160	1559	1	HepG2	0
chr16_87930684_87930766	-5.728	-0.018	chr16	87930684	87930766	CTCF	53.0	1.0	53	CTCF	3741.016	3789.0	3789.0	82	1561	0	HepG2	1
chr17_15699531_15699729	5.209	0.057	chr17	15699531	15699729	CTCF	1.0	37.0	37	CTCF	853.5	820.539	853.5	198	1594	0	HepG2	1
chr17_45971731_45972140	5.492	-0.014	chr17	45971731	45972140	CTCF	1.0	45.0	45	CTCF	1651.01	1667.0	1667.0	409	1632	0	HepG2	1
chr17_46253969_46254065	6.066	0.018	chr17	46253969	46254065	CTCF_ENCSR000DKV	1.0	67.0	67	CTCF	8617.5	8513.01	8617.5	96	530	0	GM12878	1
chr17_47843131_47843340	8.276	0.09	chr17	47843131	47843340	CTCF	1.0	310.0	310	CTCF	8120.0	7628.062	8120.0	209	1635	0	HepG2	1
chr17_58447459_58447835	-5.524	-0.021	chr17	58447459	58447835	CTCF	46.0	1.0	46	CTCF	4547.015	4614.0	4614.0	376	1671	0	HepG2	1
chr17_63866256_63867166	-5.781	0.001	chr17	63866256	63867166	CTCF	55.0	1.0	55	CTCF	4858.0	4854.0	4858.0	910	1677	0	HepG2	1
chr17_75012190_75013092	-7.295	0.003	chr17	75012190	75013092	CTCF	157.0	1.0	157	CTCF	1109.0	1107.001	1109.0	902	1720	0	HepG2	1
chr17_75524864_75525902	-5.585	0.001	chr17	75524864	75525902	CTCF	48.0	1.0	48	CTCF	2752.0	2751.001	2752.0	1038	1725	0	HepG2	1
chr18_10438003_10438087	3.273	3.771	chr18	10438003	10438087	CTCF_ENCSR000DKV	3.0	29.0	29	CTCF	6166.0	451.677	6166.0	84	559	1	GM12878	0
chr18_30081221_30081430	3.807	3.097	chr18	30081221	30081430	CTCF	2.0	28.0	28	CTCF	1400.125	163.633	1400.125	209	1815	1	HepG2	0
chr18_7568503_7568791	-6.672	-0.001	chr18	7568503	7568791	CTCF	102.0	1.0	102	CTCF	3848.002	3852.0	3852.0	288	1892	0	HepG2	1
chr19_12440863_12441259	-5.459	-0.036	chr19	12440863	12441259	CTCF	44.0	1.0	44	CTCF	2762.024	2832.0	2832.0	396	1916	0	HepG2	1
chr19_14288935_14289055	6.267	-0.046	chr19	14288935	14289055	CTCF	1.0	77.0	77	CTCF	6548.03	6760.0	6760.0	120	1927	0	HepG2	1
chr20_22735141_22735263	6.15	0.039	chr20	22735141	22735263	CTCF	1.0	71.0	71	CTCF	5411.0	5265.03	5411.0	122	2597	0	HepG2	1
chr20_9354751_9354960	4.0	3.058	chr20	9354751	9354960	CTCF	3.0	48.0	48	CTCF	2526.0	303.38	2526.0	209	2741	1	HepG2	0
chrX_318875_319143	5.17	0.073	chrX	318875	319143	CTCF	1.0	36.0	36	CTCF	1998.25	1899.549	1998.25	268	4474	0	HepG2	1
